Day,Mouse,Infected?,Weight,Glucose,Accuri,RBC,Parasitemia,Parasite Density,Lived,Percent Weight Change
0,1,0,20.69,115,13681,6.8405,,,1,-5.868971793
0,2,1,20.7,126,15188,7.594,,,0,-3.988868275
0,3,1,21.72,127,15860,7.93,,,1,-5.318221447
0,4,1,20.63,134,14522,7.261,,,1,-8.837825895
0,5,1,21.44,139,15027,7.5135,,,1,-4.583889631
0,6,1,21.73,127,15684,7.842,,,1,-0.04599816
0,7,1,19.52,127,13606,6.803,,,1,-1.114488349
0,8,0,21.46,118,15956,7.978,,,1,-1.649862511
5,1,0,21.98,87,14107,7.0535,0,0,1,0
5,2,1,21.56,88,13540,6.77,5.8,0.39266,0,0
5,3,1,22.94,125,13852,6.926,7.7,0.533302,1,0
5,4,1,22.63,94,13893,6.9465,5.5,0.3820575,1,0
5,5,1,22.47,105,14951,7.4755,7.6,0.568138,1,0
5,6,1,21.74,93,14570,7.285,2.9,0.211265,1,0
5,7,1,19.74,74,14421,7.2105,3.1,0.2235255,1,0
5,8,0,21.82,108,14416,7.208,0,0,1,0
6,1,0,21.37,92,13623,6.8115,0,0,1,-2.775250227
6,2,1,20.23,93,11216,5.608,29,1.62632,0,-6.168831169
6,3,1,22.41,126,9854,4.927,29.2,1.438684,1,-2.310374891
6,4,1,22.98,107,10756,5.378,23.1,1.242318,1,1.546619532
6,5,1,21.98,102,10960,5.48,22.8,1.24944,1,-2.180685358
6,6,1,19.97,51,9967,4.9835,14.8,0.737558,1,-8.141674333
6,7,1,19.62,86,11449,5.7245,11.7,0.6697665,1,-0.607902736
6,8,0,21.76,106,14125,7.0625,0,0,1,-0.274977085
7,1,0,21.53,97,12723,6.3615,0,0,1,-2.047315742
7,2,1,20.11,51,6845,3.4225,44.7,1.5298575,0,-6.72541744
7,3,1,21.23,71,5068,2.534,40,1.0136,1,-7.454228422
7,4,1,21.81,73,6661,3.3305,34.2,1.139031,1,-3.623508617
7,5,1,21.05,74,5898,2.949,49.6,1.462704,1,-6.319537161
7,6,1,19.33,86,6973,3.4865,30.3,1.0564095,1,-11.08555658
7,7,1,19.12,70,7975,3.9875,34.5,1.3756875,1,-3.1408308
7,8,0,22.26,91,12851,6.4255,0,0,1,2.016498625
8,1,0,22.21,108,13323,6.6615,0,0,1,1.046405823
8,2,1,18.23,53,3312,1.656,22.3,0.369288,0,-15.44526902
8,3,1,19.57,79,2827,1.4135,32,0.45232,1,-14.69049695
8,4,1,19.91,65,3389,1.6945,25.8,0.437181,1,-12.01944322
8,5,1,19.34,73,2653,1.3265,32.3,0.4284595,1,-13.92968402
8,6,1,19.09,70,4339,2.1695,35.2,0.763664,1,-12.18951242
8,7,1,17.95,59,3309,1.6545,36.1,0.5972745,1,-9.067882472
8,8,0,22.36,105,10957,5.4785,0,0,1,2.474793767
9,1,0,21.73,82,12720,6.36,0,0,1,-1.137397634
9,2,1,16.49,76,3201,1.6005,34.6,0.553773,0,-23.51576994
9,3,1,17.76,98,2411,1.2055,35.7,0.4303635,1,-22.58064516
9,4,1,17.93,87,3294,1.647,24.3,0.400221,1,-20.76889085
9,5,1,17.91,102,1998,0.999,26.1,0.260739,1,-20.29372497
9,6,1,17.94,84,2509,1.2545,34.5,0.4328025,1,-17.47930083
9,7,1,16.2,81,2917,1.4585,12.7,0.1852295,1,-17.9331307
9,8,0,21.78,106,12733,6.3665,0,0,1,-0.183318057
10,1,0,22.12,88,12609,6.3045,0,0,1,0.636942675
10,2,1,15.41,60,2365,1.1825,5.9,0.0697675,0,-28.52504638
10,3,1,16.88,94,2163,1.0815,13.1,0.1416765,1,-26.41673932
10,4,1,17.15,93,2634,1.317,13,0.17121,1,-24.21564295
10,5,1,16.7,104,1739,0.8695,12.1,0.1052095,1,-25.67868269
10,6,1,18.36,88,2681,1.3405,6.2,0.083111,1,-15.5473781
10,7,1,15.95,93,2615,1.3075,22.3,0.2915725,1,-19.19959473
10,8,0,21.7,97,11619,5.8095,0,0,1,-0.54995417
11,1,0,22.16,99,12544,6.272,0,0,1,0.818926297
11,2,1,14.5,73,2631,1.3155,6.3,0.0828765,0,-32.7458256
11,3,1,17.35,97,1988,0.994,9.3,0.092442,1,-24.3679163
11,4,1,17.26,64,2632,1.316,8.5,0.11186,1,-23.72956253
11,5,1,16.52,77,2053,1.0265,4,0.04106,1,-26.47975078
11,6,1,19.97,77,4814,2.407,3.5,0.084245,1,-8.141674333
11,7,1,16.24,91,2532,1.266,8.1,0.102546,1,-17.73049645
11,8,0,22.37,101,12763,6.3815,0,0,1,2.520623281
12,1,0,22.31,91,12638,6.319,0,0,1,1.501364877
12,2,1,13.61,50,2823,1.4115,2.9,0.0409335,0,-36.87384045
12,3,1,17.95,75,2794,1.397,3.3,0.046101,1,-21.75239756
12,4,1,17.79,90,3045,1.5225,3.7,0.0563325,1,-21.38753867
12,5,1,17.56,95,2213,1.1065,0,0,1,-21.85135737
12,6,1,21.32,79,7780,3.89,2.3,0.08947,1,-1.931922723
12,7,1,17.64,68,3900,1.95,2.3,0.04485,1,-10.63829787
12,8,0,22.17,107,13185,6.5925,0,0,1,1.604032997
13,1,0,22.28,97,12123,6.0615,0,0,1,1.364877161
13,2,1,,,,,,,0,
13,3,1,18.97,68,5042,2.521,2.3,0.057983,1,-17.30601569
13,4,1,18.55,76,3910,1.955,0.8,0.01564,1,-18.02916483
13,5,1,18.18,70,3237,1.6185,0,0,1,-19.09212283
13,6,1,21.96,80,9053,4.5265,1.9,0.0860035,1,1.011959522
13,7,1,19.15,69,8037,4.0185,12.4,0.498294,1,-2.988855117
13,8,0,22.59,87,13796,6.898,0,0,1,3.528872594
14,1,0,22.19,87,12479,6.2395,0,0,1,0.955414013
14,2,1,,,,,,,0,
14,3,1,20.13,70,8046,4.023,0,0,1,-12.24934612
14,4,1,19.57,75,7494,3.747,0,0,1,-13.52187362
14,5,1,18.77,63,6323,3.1615,0,0,1,-16.46639964
14,6,1,22.53,87,8587,4.2935,0,0,1,3.633854646
14,7,1,19.17,75,10798,5.399,1.5,0.080985,1,-2.887537994
14,8,0,22.31,99,13110,6.555,0,0,1,2.245646196
15,1,0,22.3,105,12596,6.298,0,0,1,1.455868972
15,2,1,,,,,,,0,
15,3,1,21.97,104,8110,4.055,1.6,0.06488,1,-4.22842197
15,4,1,20.48,70,9930,4.965,1.5,0.074475,1,-9.500662837
15,5,1,21.22,101,9563,4.7815,0,0,1,-5.562972853
15,6,1,22.6,110,8681,4.3405,2.4,0.104172,1,3.955841766
15,7,1,20.05,97,10974,5.487,2.2,0.120714,1,1.5704154
15,8,0,22.34,101,9809,4.9045,0,0,1,2.383134739
